competition,date,home_team,scores,away_team,location
2000 Tiger Cup GS,6 November 2000,Indonesia,3–0,Philippines,"Chiang Mai, Thailand"
2000 Tiger Cup GS,8 November 2000,Myanmar,3–0,Philippines,"Chiang Mai, Thailand"
2000 Tiger Cup GS,12 November 2000,Thailand,2–0,Philippines,"Chiang Mai, Thailand"
Friendly[3],25 April 2001,Lebanon,3–0,Philippines,"Beirut, Lebanon"
2002 FIFA World Cup qualification,30 April 2001,Syria,12–0,Philippines,"Aleppo, Syria"
2002 FIFA World Cup qualification,4 May 2001,Philippines,1–5,Syria,"Aleppo, Syria"
2002 FIFA World Cup qualification,7 May 2001,Oman,7–0,Philippines,"Muscat, Oman"
2002 FIFA World Cup qualification,11 May 2001,Philippines,0–2,Oman,"Muscat, Oman"
2002 FIFA World Cup qualification,19 May 2001,Laos,2–0,Philippines,"Vientiane, Laos"
2002 FIFA World Cup qualification,26 May 2001,Laos,1–1,Philippines,"Pasig, Philippines"
Friendly[5][6],11 December 2002,Singapore,2–0,Philippines,Singapore
2002 Tiger Cup GS,17 December 2002,Philippines,1–6,Myanmar,"Jakarta, Indonesia"
2002 Tiger Cup GS,19 December 2002,Vietnam,4–1,Philippines,"Jakarta, Indonesia"
2002 Tiger Cup GS,21 December 2002,Cambodia,1–0,Philippines,"Jakarta, Indonesia"
2002 Tiger Cup GS,23 December 2002,Indonesia,13–1,Philippines,"Jakarta, Indonesia"
2002 Tiger Cup GS,8 December 2004,Philippines,0–1,Myanmar,"Kuala Lumpur, Malaysia"
2002 Tiger Cup GS,10 December 2004,Malaysia,4–1,Philippines,"Kuala Lumpur, Malaysia"
2002 Tiger Cup GS,14 December 2004,Philippines,2–1,East Timor,"Kuala Lumpur, Malaysia"
2002 Tiger Cup GS,16 December 2004,Thailand,3–1,Philippines,"Kuala Lumpur, Malaysia"
Friendly[7],26 March 2006,Thailand,5–0,Philippines,"Chonburi, Thailand"
2006 AFC Challenge Cup GS,1 April 2006,Chinese Taipei,1–0,Philippines,"Chittagong, Bangladesh"
2006 AFC Challenge Cup GS,5 April 2006,Philippines,1–1,Afghanistan,"Chittagong, Bangladesh"
2007 AFF Championship qualification,12 November 2006,Philippines,1–2,Laos,"Bacolod, Philippines"
2007 AFF Championship qualification,14 November 2006,Philippines,7–0,East Timor,"Bacolod, Philippines"
2007 AFF Championship qualification,18 November 2006,Philippines,1–0,Cambodia,"Bacolod, Philippines"
2007 AFF Championship qualification,20 November 2006,Philippines,4–1,Brunei,"Bacolod, Philippines"
Friendly[8],7 January 2007,Singapore,4–1,Philippines,Singapore
2007 AFF Championship GS,12 January 2007,Malaysia,4–0,Philippines,"Bangkok, Thailand"
2007 AFF Championship GS,12 January 2007,Thailand,4–0,Philippines,"Bangkok, Thailand"
2007 AFF Championship GS,12 January 2007,Myanmar,0–0,Philippines,"Bangkok, Thailand"
2008 AFC Challenge Cup qualification,13 May 2008,Brunei,0–1,Philippines,"Iloilo City, Philippines"
2008 AFC Challenge Cup qualification,15 May 2008,Philippines,0–0,Tajikistan,"Iloilo City, Philippines"
2008 AFC Challenge Cup qualification,17 May 2008,Philippines,3–0,Bhutan,"Barotac Nuevo, Philippines"
2008 AFF Championship qualification,17 October 2008,Philippines,1–0,East Timor,"Phnom Penh, Cambodia"
2008 AFF Championship qualification,19 October 2008,Brunei,1–1,Philippines,"Phnom Penh, Cambodia"
2008 AFF Championship qualification,21 October 2008,Philippines,1–2,Laos,"Phnom Penh, Cambodia"
2008 AFF Championship qualification,23 October 2008,Cambodia,2–3,Philippines,"Phnom Penh, Cambodia"
2010 AFC Challenge Cup qualification,14 April 2009,Philippines,1–0,Bhutan,"Malé, Maldives"
2010 AFC Challenge Cup qualification,16 April 2009,Maldives,3–2,Philippines,"Malé, Maldives"
2010 AFC Challenge Cup qualification,18 April 2009,Turkmenistan,5–0,Philippines,"Malé, Maldives"
Friendly[3][4],16 January 2010,Chinese Taipei,0–0,Philippines,"Kaohsiung, Taiwan"
2010 Long Teng Cup,10 October 2010,Chinese Taipei,1–1,Philippines,"Kaohsiung, Taiwan"
2010 Long Teng Cup,12 October 2010,Philippines,5–0,Macau,"Kaohsiung, Taiwan"
2010 AFF Championship qualification,22 October 2010,East Timor,0–5,Philippines,"Vientiane, Laos"
2010 AFF Championship qualification,24 October 2010,Laos,2–2,Philippines,"Vientiane, Laos"
2010 AFF Championship qualification,26 October 2010,Philippines,0–0,Cambodia,"Vientiane, Laos"
2010 AFF Championship GS,2 December 2010,Singapore,1–1,Philippines,"Hanoi, Vietnam"
2010 AFF Championship GS,5 December 2010,Philippines,2–0,Vietnam,"Hanoi, Vietnam"
2010 AFF Championship GS,8 December 2010,Myanmar,0–0,Philippines,"Nam Định, Vietnam"
2010 AFF Championship SF 1st leg,16 December 2010,Philippines,0–1[note 1],Indonesia,"Jakarta, Indonesia"
2010 AFF Championship SF 2nd leg,19 December 2010,Indonesia,1–0,Philippines,"Jakarta, Indonesia"
2012 AFC Challenge Cup qualification,9 February 2011,Philippines,2–0,Mongolia,"Bacolod, Philippines"
2012 AFC Challenge Cup qualification,15 March 2011,Mongolia,2–1,Philippines,"Ulan Baatar, Mongolia"
2012 AFC Challenge Cup qualification,21 March 2011,Myanmar,1–1,Philippines,"Yangon, Myanmar"
2012 AFC Challenge Cup qualification,23 March 2011,Philippines,0–0,Palestine,"Yangon, Myanmar"
2012 AFC Challenge Cup qualification,25 March 2011,Bangladesh,0–3,Philippines,"Yangon, Myanmar"
2014 FIFA World Cup qualification,29 June 2011,Sri Lanka,1–1,Philippines,"Colombo, Sri Lanka"
2014 FIFA World Cup qualification,3 July 2011,Philippines,4–0,Sri Lanka,"Manila, Philippines"
2014 FIFA World Cup qualification,23 July 2011,Kuwait,3–0,Philippines,"Hawally, Kuwait"
2014 FIFA World Cup qualification,28 July 2011,Philippines,1–2,Kuwait,"Manila, Philippines"
2011 Long Teng Cup,30 September 2011,Hong Kong,3–3,Philippines,"Kaohsiung, Taiwan"
2011 Long Teng Cup,2 October 2011,Chinese Taipei,0–0,Philippines,"Kaohsiung, Taiwan"
2011 Long Teng Cup,4 October 2011,Philippines,2–0,Macau,"Kaohsiung, Taiwan"
Friendly[6],7 October 2011,Singapore,2–0,Philippines,Singapore
Friendly[7],11 October 2011,Philippines,4–0,Nepal,"Manila, Philippines"
Friendly[8],29 February 2012,Philippines,1–1,Malaysia,"Manila, Philippines"
