date,opponent,ph_goal,opp_goal,ph_goal_diff,ph_pen_goal,opp_pen_goal,ph_match_status,competition,competition_stage,sporting_event,location_city,location_country
2007-01-12,Thailand,0,4,-4,0,0,loss,2007 aff championship ,group stage,aff championship,Bangkok,Thailand
2007-01-12,Myanmar,0,0,0,0,0,draw,2007 aff championship ,group stage,aff championship,Bangkok,Thailand
2008-05-13,Brunei,1,0,1,0,0,win,2008 afc challenge cup qualification,,afc challenge cup qualification,Iloilo City,Philippines
2008-05-15,Tajikistan,0,0,0,0,0,draw,2008 afc challenge cup qualification,,afc challenge cup qualification,Iloilo City,Philippines
2008-05-17,Bhutan,3,0,3,0,0,win,2008 afc challenge cup qualification,,afc challenge cup qualification,Barotac Nuevo,Philippines
2008-10-17,East Timor,1,0,1,0,0,win,2008 aff championship qualification,,aff championship qualification,Phnom Penh,Cambodia
2008-10-19,Brunei,1,1,0,0,0,draw,2008 aff championship qualification,,aff championship qualification,Phnom Penh,Cambodia
2008-10-21,Laos,1,2,-1,0,0,loss,2008 aff championship qualification,,aff championship qualification,Phnom Penh,Cambodia
2008-10-23,Cambodia,3,2,1,0,0,win,2008 aff championship qualification,,aff championship qualification,Phnom Penh,Cambodia
2009-04-14,Bhutan,1,0,1,0,0,win,2010 afc challenge cup qualification,,afc challenge cup qualification,Malé,Maldives
2009-04-16,Maldives,2,3,-1,0,0,loss,2010 afc challenge cup qualification,,afc challenge cup qualification,Malé,Maldives
2009-04-18,Turkmenistan,0,5,-5,0,0,loss,2010 afc challenge cup qualification,,afc challenge cup qualification,Malé,Maldives
2010-01-16,Chinese Taipei,0,0,0,0,0,draw,friendly,,friendly,Kaohsiung,Taiwan
2010-10-10,Chinese Taipei,1,1,0,0,0,draw,2010 long teng cup,,long teng cup,Kaohsiung,Taiwan
2010-10-12,Macau,5,0,5,0,0,win,2010 long teng cup,,long teng cup,Kaohsiung,Taiwan
2010-10-22,East Timor,5,0,5,0,0,win,2010 aff championship qualification,,aff championship qualification,Vientiane,Laos
2010-10-24,Laos,2,2,0,0,0,draw,2010 aff championship qualification,,aff championship qualification,Vientiane,Laos
2010-10-26,Cambodia,0,0,0,0,0,draw,2010 aff championship qualification,,aff championship qualification,Vientiane,Laos
2010-12-02,Singapore,1,1,0,0,0,draw,2010 aff championship ,group stage,aff championship,Hanoi,Vietnam
2010-12-05,Vietnam,2,0,2,0,0,win,2010 aff championship ,group stage,aff championship,Hanoi,Vietnam
2010-12-08,Myanmar,0,0,0,0,0,draw,2010 aff championship ,group stage,aff championship,Nam Định,Vietnam
2010-12-16,Indonesia,0,1,-1,0,0,loss,2010 aff championship ,semi-final,aff championship,Jakarta,Indonesia
2010-12-19,Indonesia,0,1,-1,0,0,loss,2010 aff championship ,semi-final,aff championship,Jakarta,Indonesia
2011-02-09,Mongolia,2,0,2,0,0,win,2012 afc challenge cup qualification,,afc challenge cup qualification,Bacolod,Philippines
2011-03-15,Mongolia,1,2,-1,0,0,loss,2012 afc challenge cup qualification,,afc challenge cup qualification,Ulan Baatar,Mongolia
2011-03-21,Myanmar,1,1,0,0,0,draw,2012 afc challenge cup qualification,,afc challenge cup qualification,Yangon,Myanmar
2011-03-23,Palestine,0,0,0,0,0,draw,2012 afc challenge cup qualification,,afc challenge cup qualification,Yangon,Myanmar
2011-03-25,Bangladesh,3,0,3,0,0,win,2012 afc challenge cup qualification,,afc challenge cup qualification,Yangon,Myanmar
2011-06-29,Sri Lanka,1,1,0,0,0,draw,2014 fifa world cup qualification,,fifa world cup qualification,Colombo,Sri Lanka
2011-07-03,Sri Lanka,4,0,4,0,0,win,2014 fifa world cup qualification,,fifa world cup qualification,Manila,Philippines
2011-07-23,Kuwait,0,3,-3,0,0,loss,2014 fifa world cup qualification,,fifa world cup qualification,Hawally,Kuwait
2011-07-28,Kuwait,1,2,-1,0,0,loss,2014 fifa world cup qualification,,fifa world cup qualification,Manila,Philippines
2011-09-30,Hong Kong,3,3,0,0,0,draw,2011 long teng cup,,long teng cup,Kaohsiung,Taiwan
2011-10-02,Chinese Taipei,0,0,0,0,0,draw,2011 long teng cup,,long teng cup,Kaohsiung,Taiwan
2011-10-04,Macau,2,0,2,0,0,win,2011 long teng cup,,long teng cup,Kaohsiung,Taiwan
2011-10-07,Singapore,0,2,-2,0,0,loss,friendly,,friendly,,Singapore
2011-10-11,Nepal,4,0,4,0,0,win,friendly,,friendly,Manila,Philippines
